1758442458.879323 server started (15738): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1758442458.879368 on Linux 6.8.0-79-generic #79-Ubuntu SMP PREEMPT_DYNAMIC Tue Aug 12 14:42:46 UTC 2025
1758442458.879382 using libevent 2.1.12-stable poll
1758442458.879390 using ncurses 6.4 20240113
1758442458.897144 args_parse_flags: next -r
1758442458.897148 args_parse_flags: -r
1758442458.897153 args_parse_flags: next C-Right
1758442458.897157 args_parse: flags end at 4 of 6
1758442458.897162 args_parse: 4 = C-Right (type STRING)
1758442458.897167 args_parse: 5 = resize-pane -R (type COMMANDS)
1758442458.897175 cmd_parse_build_commands: bind-key -r -N "Resize the pane right" C-Right { resize-pane -R }
1758442458.897181 cmdq_get_command: [bind-key/0x5fbe1f900830] group 682
1758442458.897185 cmdq_append <global>: [bind-key/0x5fbe1f900830]
1758442458.897191 yylex_token: end at WS
1758442458.897196 yylex_token: bind
1758442458.897200 yylex_token: end at WS
1758442458.897204 yylex_token: <
1758442458.897209 yylex_token: end at WS
1758442458.897214 yylex_token: display-menu
1758442458.897218 yylex_token: end at WS
1758442458.897222 yylex_token: -xW
1758442458.897227 yylex_token: end at WS
1758442458.897231 yylex_token: -yW
1758442458.897235 yylex_token: end at WS
1758442458.897240 yylex_token: -T
1758442458.897246 yylex_token: end at WS
1758442458.897250 yylex_token: #[align=centre]#{window_index}:#{window_name}
1758442458.897257 yylex_token: end at WS
1758442458.897261 yylex_token: #{?#{>:#{session_windows},1},,-}Swap Left
1758442458.897266 yylex_token: end at WS
1758442458.897270 yylex_token: l
1758442458.897275 yylex_token: end at WS
1758442458.897279 yylex_token: swap-window
1758442458.897284 yylex_token: end at }
1758442458.897288 yylex_token: -t:-1
1758442458.897294 yylex_token: end at WS
1758442458.897299 yylex_token: #{?#{>:#{session_windows},1},,-}Swap Right
1758442458.897304 yylex_token: end at WS
1758442458.897307 yylex_token: r
1758442458.897313 yylex_token: end at WS
1758442458.897317 yylex_token: swap-window
1758442458.897321 yylex_token: end at }
1758442458.897326 yylex_token: -t:+1
1758442458.897332 yylex_token: end at WS
1758442458.897336 yylex_token: #{?pane_marked_set,,-}Swap Marked
1758442458.897341 yylex_token: end at WS
1758442458.897345 yylex_token: s
1758442458.897350 yylex_token: end at }
1758442458.897354 yylex_token: swap-window
1758442458.897358 yylex_token: end at WS
1758442458.897363 yylex_token: 
1758442458.897367 yylex_token: end at WS
1758442458.897372 yylex_token: Kill
1758442458.897376 yylex_token: end at WS
1758442458.897380 yylex_token: X
1758442458.897385 yylex_token: end at }
1758442458.897389 yylex_token: kill-window
1758442458.897394 yylex_token: end at WS
1758442458.897398 yylex_token: Respawn
1758442458.897403 yylex_token: end at WS
1758442458.897407 yylex_token: R
1758442458.897412 yylex_token: end at WS
1758442458.897416 yylex_token: respawn-window
1758442458.897420 yylex_token: end at }
1758442458.897425 yylex_token: -k
1758442458.897430 yylex_token: end at WS
1758442458.897434 yylex_token: #{?pane_marked,Unmark,Mark}
1758442458.897439 yylex_token: end at WS
1758442458.897443 yylex_token: m
1758442458.897448 yylex_token: end at WS
1758442458.897452 yylex_token: select-pane
1758442458.897456 yylex_token: end at }
1758442458.897461 yylex_token: -m
1758442458.897465 yylex_token: end at WS
1758442458.897470 yylex_token: Rename
1758442458.897474 yylex_token: end at WS
1758442458.897478 yylex_token: n
1758442458.897483 yylex_token: end at WS
1758442458.897487 yylex_token: command-prompt
1758442458.897492 yylex_token: end at WS
1758442458.897496 yylex_token: -FI
1758442458.897501 yylex_token: end at WS
1758442458.897505 yylex_token: #W
1758442458.897509 yylex_token: end at WS
1758442458.897518 yylex_token: rename-window
1758442458.897522 yylex_token: end at WS
1758442458.897526 yylex_token: -t
1758442458.897531 yylex_token: end at WS
1758442458.897536 yylex_token: #{window_id}
1758442458.897540 yylex_token: end at WS
1758442458.897544 yylex_token: --
1758442458.897549 yylex_token: end at }
1758442458.897552 yylex_token: %%
1758442458.897557 yylex_token: end at WS
1758442458.897562 yylex_token: 
1758442458.897566 yylex_token: end at WS
1758442458.897571 yylex_token: New After
1758442458.897581 yylex_token: end at WS
1758442458.897585 yylex_token: w
1758442458.897590 yylex_token: end at WS
1758442458.897594 yylex_token: new-window
1758442458.897599 yylex_token: end at }
1758442458.897602 yylex_token: -a
1758442458.897608 yylex_token: end at WS
1758442458.897612 yylex_token: New At End
1758442458.897616 yylex_token: end at WS
1758442458.897620 yylex_token: W
1758442458.897625 yylex_token: end at }
1758442458.897629 yylex_token: new-window
1758442458.897635 cmd_parse_build_commands 0:0: bind
1758442458.897640 cmd_parse_build_commands 0:1: <
1758442458.897645 cmd_parse_build_commands 0:2 0:0: display-menu
1758442458.897650 cmd_parse_build_commands 0:2 0:1: -xW
1758442458.897654 cmd_parse_build_commands 0:2 0:2: -yW
1758442458.897659 cmd_parse_build_commands 0:2 0:3: -T
1758442458.897663 cmd_parse_build_commands 0:2 0:4: #[align=centre]#{window_index}:#{window_name}
1758442458.897669 cmd_parse_build_commands 0:2 0:5: #{?#{>:#{session_windows},1},,-}Swap Left
1758442458.897673 cmd_parse_build_commands 0:2 0:6: l
1758442458.897678 cmd_parse_build_commands 0:2 0:7 0:0: swap-window
1758442458.897683 cmd_parse_build_commands 0:2 0:7 0:1: -t:-1
1758442458.897688 cmd_parse_build_commands 0:2 0:8: #{?#{>:#{session_windows},1},,-}Swap Right
1758442458.897693 cmd_parse_build_commands 0:2 0:9: r
1758442458.897697 cmd_parse_build_commands 0:2 0:10 0:0: swap-window
1758442458.897702 cmd_parse_build_commands 0:2 0:10 0:1: -t:+1
1758442458.897707 cmd_parse_build_commands 0:2 0:11: #{?pane_marked_set,,-}Swap Marked
1758442458.897712 cmd_parse_build_commands 0:2 0:12: s
1758442458.897716 cmd_parse_build_commands 0:2 0:13 0:0: swap-window
1758442458.897721 cmd_parse_build_commands 0:2 0:14: 
1758442458.897726 cmd_parse_build_commands 0:2 0:15: Kill
1758442458.897730 cmd_parse_build_commands 0:2 0:16: X
1758442458.897735 cmd_parse_build_commands 0:2 0:17 0:0: kill-window
1758442458.897740 cmd_parse_build_commands 0:2 0:18: Respawn
1758442458.897744 cmd_parse_build_commands 0:2 0:19: R
1758442458.897749 cmd_parse_build_commands 0:2 0:20 0:0: respawn-window
1758442458.897754 cmd_parse_build_commands 0:2 0:20 0:1: -k
1758442458.897759 cmd_parse_build_commands 0:2 0:21: #{?pane_marked,Unmark,Mark}
1758442458.897763 cmd_parse_build_commands 0:2 0:22: m
1758442458.897768 cmd_parse_build_commands 0:2 0:23 0:0: select-pane
1758442458.897773 cmd_parse_build_commands 0:2 0:23 0:1: -m
1758442458.897777 cmd_parse_build_commands 0:2 0:24: Rename
1758442458.897782 cmd_parse_build_commands 0:2 0:25: n
1758442458.897786 cmd_parse_build_commands 0:2 0:26 0:0: command-prompt
1758442458.897791 cmd_parse_build_commands 0:2 0:26 0:1: -FI
1758442458.897796 cmd_parse_build_commands 0:2 0:26 0:2: #W
1758442458.897800 cmd_parse_build_commands 0:2 0:26 0:3 0:0: rename-window
1758442458.897805 cmd_parse_build_commands 0:2 0:26 0:3 0:1: -t
1758442458.897809 cmd_parse_build_commands 0:2 0:26 0:3 0:2: #{window_id}
1758442458.897814 cmd_parse_build_commands 0:2 0:26 0:3 0:3: --
1758442458.897818 cmd_parse_build_commands 0:2 0:26 0:3 0:4: %%
1758442458.897823 cmd_parse_build_commands 0:2 0:27: 
1758442458.897831 cmd_parse_build_commands 0:2 0:28: New After
1758442458.897836 cmd_parse_build_commands 0:2 0:29: w
1758442458.897841 cmd_parse_build_commands 0:2 0:30 0:0: new-window
1758442458.897845 cmd_parse_build_commands 0:2 0:30 0:1: -a
1758442458.897850 cmd_parse_build_commands 0:2 0:31: New At End
1758442458.897854 cmd_parse_build_commands 0:2 0:32: W
1758442458.897859 cmd_parse_build_commands 0:2 0:33 0:0: new-window
1758442458.897864 cmd_parse_build_commands 0:0: display-menu
1758442458.897869 cmd_parse_build_commands 0:1: -xW
1758442458.897874 cmd_parse_build_commands 0:2: -yW
1758442458.897878 cmd_parse_build_commands 0:3: -T
1758442458.897883 cmd_parse_build_commands 0:4: #[align=centre]#{window_index}:#{window_name}
1758442458.897888 cmd_parse_build_commands 0:5: #{?#{>:#{session_windows},1},,-}Swap Left
1758442458.897892 cmd_parse_build_commands 0:6: l
1758442458.897908 cmd_parse_build_commands 0:7 0:0: swap-window
1758442458.897917 cmd_parse_build_commands 0:7 0:1: -t:-1
1758442458.897922 cmd_parse_build_commands 0:8: #{?#{>:#{session_windows},1},,-}Swap Right
1758442458.897929 cmd_parse_build_commands 0:9: r
1758442458.897935 cmd_parse_build_commands 0:10 0:0: swap-window
1758442458.897939 cmd_parse_build_commands 0:10 0:1: -t:+1
1758442458.897944 cmd_parse_build_commands 0:11: #{?pane_marked_set,,-}Swap Marked
1758442458.897949 cmd_parse_build_commands 0:12: s
1758442458.897954 cmd_parse_build_commands 0:13 0:0: swap-window
1758442458.897958 cmd_parse_build_commands 0:14: 
1758442458.897963 cmd_parse_build_commands 0:15: Kill
1758442458.897966 cmd_parse_build_commands 0:16: X
1758442458.897972 cmd_parse_build_commands 0:17 0:0: kill-window
1758442458.897977 cmd_parse_build_commands 0:18: Respawn
1758442458.897981 cmd_parse_build_commands 0:19: R
1758442458.897989 cmd_parse_build_commands 0:20 0:0: respawn-window
1758442458.897994 cmd_parse_build_commands 0:20 0:1: -k
1758442458.897999 cmd_parse_build_commands 0:21: #{?pane_marked,Unmark,Mark}
1758442458.898004 cmd_parse_build_commands 0:22: m
1758442458.898009 cmd_parse_build_commands 0:23 0:0: select-pane
1758442458.898012 cmd_parse_build_commands 0:23 0:1: -m
1758442458.898017 cmd_parse_build_commands 0:24: Rename
1758442458.898022 cmd_parse_build_commands 0:25: n
1758442458.898027 cmd_parse_build_commands 0:26 0:0: command-prompt
1758442458.898030 cmd_parse_build_commands 0:26 0:1: -FI
1758442458.898035 cmd_parse_build_commands 0:26 0:2: #W
1758442458.898039 cmd_parse_build_commands 0:26 0:3 0:0: rename-window
1758442458.898044 cmd_parse_build_commands 0:26 0:3 0:1: -t
1758442458.898049 cmd_parse_build_commands 0:26 0:3 0:2: #{window_id}
1758442458.898052 cmd_parse_build_commands 0:26 0:3 0:3: --
1758442458.898057 cmd_parse_build_commands 0:26 0:3 0:4: %%
1758442458.898061 cmd_parse_build_commands 0:27: 
1758442458.898066 cmd_parse_build_commands 0:28: New After
1758442458.898070 cmd_parse_build_commands 0:29: w
1758442458.898075 cmd_parse_build_commands 0:30 0:0: new-window
1758442458.898079 cmd_parse_build_commands 0:30 0:1: -a
1758442458.898084 cmd_parse_build_commands 0:31: New At End
1758442458.898089 cmd_parse_build_commands 0:32: W
1758442458.898093 cmd_parse_build_commands 0:33 0:0: new-window
1758442458.898099 cmd_parse_build_commands 0:0: swap-window
1758442458.898103 cmd_parse_build_commands 0:1: -t:-1
1758442458.898109 args_parse_flags: next -t:-1
1758442458.898113 args_parse_flag_argument: -t = :-1
1758442458.898118 args_parse: flags end at 2 of 2
1758442458.898124 cmd_parse_build_commands: swap-window -t :-1
1758442458.898129 cmd_parse_build_commands 0:0: swap-window
1758442458.898134 cmd_parse_build_commands 0:1: -t:+1
1758442458.898140 args_parse_flags: next -t:+1
1758442458.898145 args_parse_flag_argument: -t = :+1
1758442458.898149 args_parse: flags end at 2 of 2
1758442458.898155 cmd_parse_build_commands: swap-window -t :+1
1758442458.898160 cmd_parse_build_commands 0:0: swap-window
1758442458.898167 args_parse: flags end at 1 of 1
1758442458.898172 cmd_parse_build_commands: swap-window
1758442458.898178 cmd_parse_build_commands 0:0: kill-window
1758442458.898184 args_parse: flags end at 1 of 1
1758442458.898189 cmd_parse_build_commands: kill-window
1758442458.898215 cmd_parse_build_commands 0:0: respawn-window
1758442458.898220 cmd_parse_build_commands 0:1: -k
1758442458.898226 args_parse_flags: next -k
1758442458.898231 args_parse_flags: -k
1758442458.898236 args_parse: flags end at 2 of 2
1758442458.898242 cmd_parse_build_commands: respawn-window -k
1758442458.898249 cmd_parse_build_commands 0:0: select-pane
1758442458.898254 cmd_parse_build_commands 0:1: -m
1758442458.898261 args_parse_flags: next -m
1758442458.898266 args_parse_flags: -m
1758442458.898271 args_parse: flags end at 2 of 2
1758442458.898278 cmd_parse_build_commands: select-pane -m
1758442458.898290 cmd_parse_build_commands 0:0: command-prompt
1758442458.898295 cmd_parse_build_commands 0:1: -FI
1758442458.898301 cmd_parse_build_commands 0:2: #W
1758442458.898307 cmd_parse_build_commands 0:3 0:0: rename-window
1758442458.898318 cmd_parse_build_commands 0:3 0:1: -t
1758442458.898324 cmd_parse_build_commands 0:3 0:2: #{window_id}
1758442458.898330 cmd_parse_build_commands 0:3 0:3: --
1758442458.898335 cmd_parse_build_commands 0:3 0:4: %%
1758442458.898342 cmd_parse_build_commands 0:0: rename-window
1758442458.898347 cmd_parse_build_commands 0:1: -t
1758442458.898352 cmd_parse_build_commands 0:2: #{window_id}
1758442458.898358 cmd_parse_build_commands 0:3: --
1758442458.898362 cmd_parse_build_commands 0:4: %%
1758442458.898368 args_parse_flags: next -t
1758442458.898373 args_parse_flag_argument: -t = #{window_id}
1758442458.898377 args_parse_flags: next --
1758442458.898382 args_parse: flags end at 4 of 5
1758442458.898387 args_parse: 4 = %% (type STRING)
1758442458.898395 cmd_parse_build_commands: rename-window -t "#{window_id}" "%%"
1758442458.898399 args_parse_flags: next -FI
1758442458.898404 args_parse_flags: -F
1758442458.898409 args_parse_flag_argument: -I = #W
1758442458.898413 args_parse: flags end at 3 of 4
1758442458.898420 args_parse: 3 = rename-window -t "#{window_id}" "%%" (type COMMANDS)
1758442458.898429 cmd_parse_build_commands: command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" }
1758442458.898440 cmd_parse_build_commands 0:0: new-window
1758442458.898445 cmd_parse_build_commands 0:1: -a
1758442458.898450 args_parse_flags: next -a
1758442458.898455 args_parse_flags: -a
1758442458.898459 args_parse: flags end at 2 of 2
1758442458.898465 cmd_parse_build_commands: new-window -a
1758442458.898471 cmd_parse_build_commands 0:0: new-window
1758442458.898476 args_parse: flags end at 1 of 1
1758442458.898481 cmd_parse_build_commands: new-window
1758442458.898486 args_parse_flags: next -xW
1758442458.898491 args_parse_flag_argument: -x = W
1758442458.898495 args_parse_flags: next -yW
1758442458.898500 args_parse_flag_argument: -y = W
1758442458.898504 args_parse_flags: next -T
1758442458.898509 args_parse_flag_argument: -T = #[align=centre]#{window_index}:#{window_name}
1758442458.898514 args_parse_flags: next #{?#{>:#{session_windows},1},,-}Swap Left
1758442458.898518 args_parse: flags end at 5 of 34
1758442458.898523 args_parse: 5 = #{?#{>:#{session_windows},1},,-}Swap Left (type STRING)
1758442458.898528 args_parse: 6 = l (type STRING)
1758442458.898535 args_parse: 7 = swap-window -t :-1 (type COMMANDS)
1758442458.898540 args_parse: 8 = #{?#{>:#{session_windows},1},,-}Swap Right (type STRING)
1758442458.898544 args_parse: 9 = r (type STRING)
1758442458.898551 args_parse: 10 = swap-window -t :+1 (type COMMANDS)
1758442458.898556 args_parse: 11 = #{?pane_marked_set,,-}Swap Marked (type STRING)
1758442458.898561 args_parse: 12 = s (type STRING)
1758442458.898566 args_parse: 13 = swap-window (type COMMANDS)
1758442458.898571 args_parse: 14 =  (type STRING)
1758442458.898576 args_parse: 15 = Kill (type STRING)
1758442458.898580 args_parse: 16 = X (type STRING)
1758442458.898585 args_parse: 17 = kill-window (type COMMANDS)
1758442458.898590 args_parse: 18 = Respawn (type STRING)
1758442458.898594 args_parse: 19 = R (type STRING)
1758442458.898600 args_parse: 20 = respawn-window -k (type COMMANDS)
1758442458.898606 args_parse: 21 = #{?pane_marked,Unmark,Mark} (type STRING)
1758442458.898610 args_parse: 22 = m (type STRING)
1758442458.898616 args_parse: 23 = select-pane -m (type COMMANDS)
1758442458.898621 args_parse: 24 = Rename (type STRING)
1758442458.898625 args_parse: 25 = n (type STRING)
1758442458.898635 args_parse: 26 = command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } (type COMMANDS)
1758442458.898640 args_parse: 27 =  (type STRING)
1758442458.898645 args_parse: 28 = New After (type STRING)
1758442458.898650 args_parse: 29 = w (type STRING)
1758442458.898655 args_parse: 30 = new-window -a (type COMMANDS)
1758442458.898660 args_parse: 31 = New At End (type STRING)
1758442458.898665 args_parse: 32 = W (type STRING)
1758442458.898674 args_parse: 33 = new-window (type COMMANDS)
1758442458.898716 cmd_parse_build_commands: display-menu -T "#[align=centre]#{window_index}:#{window_name}" -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window }
1758442458.898727 args_parse_flags: next <
1758442458.898732 args_parse: flags end at 1 of 3
1758442458.898736 args_parse: 1 = < (type STRING)
1758442458.898778 args_parse: 2 = display-menu -T "#[align=centre]#{window_index}:#{window_name}" -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } (type COMMANDS)
1758442458.898824 cmd_parse_build_commands: bind-key < { display-menu -T "#[align=centre]#{window_index}:#{window_name}" -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } }
1758442458.898832 cmdq_get_command: [bind-key/0x5fbe1f905a90] group 690
1758442458.898837 cmdq_append <global>: [bind-key/0x5fbe1f905a90]
1758442458.898845 yylex_token: end at WS
1758442458.898850 yylex_token: bind
1758442458.898854 yylex_token: end at WS
1758442458.898858 yylex_token: >
1758442458.898863 yylex_token: end at WS
1758442458.898868 yylex_token: display-menu
1758442458.898872 yylex_token: end at WS
1758442458.898876 yylex_token: -xP
1758442458.898881 yylex_token: end at WS
1758442458.898885 yylex_token: -yP
1758442458.898890 yylex_token: end at WS
1758442458.898910 yylex_token: -T
1758442458.898920 yylex_token: end at WS
1758442458.898925 yylex_token: #[align=centre]#{pane_index} (#{pane_id})
1758442458.898931 yylex_token: end at WS
1758442458.898936 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1758442458.898940 yylex_token: end at WS
1758442458.898945 yylex_token: <
1758442458.898949 yylex_token: end at WS
1758442458.898953 yylex_token: send
1758442458.898957 yylex_token: end at WS
1758442458.898961 yylex_token: -X
1758442458.898966 yylex_token: end at }
1758442458.898970 yylex_token: history-top
1758442458.898977 yylex_token: end at WS
1758442458.898982 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}
1758442458.898986 yylex_token: end at WS
1758442458.898991 yylex_token: >
1758442458.898995 yylex_token: end at WS
1758442458.899000 yylex_token: send
1758442458.899004 yylex_token: end at WS
1758442458.899008 yylex_token: -X
1758442458.899013 yylex_token: end at }
1758442458.899017 yylex_token: history-bottom
1758442458.899022 yylex_token: end at WS
1758442458.899026 yylex_token: 
1758442458.899033 yylex_token: end at WS
1758442458.899037 yylex_token: #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}
1758442458.899042 yylex_token: end at WS
1758442458.899046 yylex_token: C-r
1758442458.899051 yylex_token: end at WS
1758442458.899054 yylex_token: if
1758442458.899059 yylex_token: end at WS
1758442458.899063 yylex_token: -F
1758442458.899069 yylex_token: end at WS
1758442458.899073 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1758442458.899078 yylex_token: end at ;
1758442458.899083 yylex_token: copy-mode -t=
1758442458.899087 yylex_token: end at WS
1758442458.899092 yylex_token: send
1758442458.899096 yylex_token: end at WS
1758442458.899106 yylex_token: -Xt=
1758442458.899111 yylex_token: end at WS
1758442458.899116 yylex_token: search-backward
1758442458.899121 yylex_token: end at }
1758442458.899125 yylex_token: #{q:mouse_word}
1758442458.899132 yylex_token: end at WS
1758442458.899137 yylex_token: #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}
1758442458.899141 yylex_token: end at WS
1758442458.899146 yylex_token: C-y
1758442458.899150 yylex_token: end at WS
1758442458.899155 yylex_token: copy-mode
1758442458.899159 yylex_token: end at ;
1758442458.899163 yylex_token: -q
1758442458.899168 yylex_token: end at WS
1758442458.899173 yylex_token: send-keys
1758442458.899177 yylex_token: end at WS
1758442458.899181 yylex_token: -l
1758442458.899185 yylex_token: end at WS
1758442458.899189 yylex_token: --
1758442458.899194 yylex_token: end at }
1758442458.899199 yylex_token: #{q:mouse_word}
1758442458.899205 yylex_token: end at WS
1758442458.899210 yylex_token: #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}
1758442458.899215 yylex_token: end at WS
1758442458.899218 yylex_token: c
1758442458.899223 yylex_token: end at WS
1758442458.899227 yylex_token: copy-mode
1758442458.899232 yylex_token: end at ;
1758442458.899236 yylex_token: -q
1758442458.899241 yylex_token: end at WS
1758442458.899245 yylex_token: set-buffer
1758442458.899249 yylex_token: end at WS
1758442458.899254 yylex_token: --
1758442458.899258 yylex_token: end at }
1758442458.899263 yylex_token: #{q:mouse_word}
1758442458.899268 yylex_token: end at WS
1758442458.899273 yylex_token: #{?mouse_line,Copy Line,}
1758442458.899277 yylex_token: end at WS
1758442458.899281 yylex_token: l
1758442458.899286 yylex_token: end at WS
1758442458.899290 yylex_token: copy-mode
1758442458.899295 yylex_token: end at ;
1758442458.899299 yylex_token: -q
1758442458.899304 yylex_token: end at WS
1758442458.899308 yylex_token: set-buffer
1758442458.899313 yylex_token: end at WS
1758442458.899317 yylex_token: --
1758442458.899321 yylex_token: end at }
1758442458.899326 yylex_token: #{q:mouse_line}
1758442458.899330 yylex_token: end at WS
1758442458.899335 yylex_token: 
1758442458.899341 yylex_token: end at WS
1758442458.899348 yylex_token: #{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}
1758442458.899352 yylex_token: end at WS
1758442458.899357 yylex_token: C-h
1758442458.899361 yylex_token: end at WS
1758442458.899366 yylex_token: copy-mode
1758442458.899370 yylex_token: end at ;
1758442458.899374 yylex_token: -q
1758442458.899380 yylex_token: end at WS
1758442458.899384 yylex_token: send-keys
1758442458.899388 yylex_token: end at WS
1758442458.899392 yylex_token: -l
1758442458.899397 yylex_token: end at WS
1758442458.899401 yylex_token: --
1758442458.899406 yylex_token: end at }
1758442458.899410 yylex_token: #{q:mouse_hyperlink}
1758442458.899417 yylex_token: end at WS
1758442458.899422 yylex_token: #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}
1758442458.899427 yylex_token: end at WS
1758442458.899431 yylex_token: h
1758442458.899436 yylex_token: end at WS
1758442458.899440 yylex_token: copy-mode
1758442458.899445 yylex_token: end at ;
1758442458.899448 yylex_token: -q
1758442458.899454 yylex_token: end at WS
1758442458.899458 yylex_token: set-buffer
1758442458.899462 yylex_token: end at WS
1758442458.899466 yylex_token: --
1758442458.899471 yylex_token: end at }
1758442458.899476 yylex_token: #{q:mouse_hyperlink}
1758442458.899479 yylex_token: end at WS
1758442458.899484 yylex_token: 
1758442458.899489 yylex_token: end at WS
1758442458.899493 yylex_token: Horizontal Split
1758442458.899498 yylex_token: end at WS
1758442458.899502 yylex_token: h
1758442458.899507 yylex_token: end at WS
1758442458.899511 yylex_token: split-window
1758442458.899516 yylex_token: end at }
1758442458.899519 yylex_token: -h
1758442458.899525 yylex_token: end at WS
1758442458.899529 yylex_token: Vertical Split
1758442458.899533 yylex_token: end at WS
1758442458.899538 yylex_token: v
1758442458.899542 yylex_token: end at WS
1758442458.899547 yylex_token: split-window
1758442458.899557 yylex_token: end at }
1758442458.899561 yylex_token: -v
1758442458.899565 yylex_token: end at WS
1758442458.899569 yylex_token: 
1758442458.899575 yylex_token: end at WS
1758442458.899580 yylex_token: #{?#{>:#{window_panes},1},,-}Swap Up
1758442458.899585 yylex_token: end at WS
1758442458.899590 yylex_token: u
1758442458.899594 yylex_token: end at WS
1758442458.899599 yylex_token: swap-pane
1758442458.899603 yylex_token: end at }
1758442458.899608 yylex_token: -U
1758442458.899613 yylex_token: end at WS
1758442458.899618 yylex_token: #{?#{>:#{window_panes},1},,-}Swap Down
1758442458.899623 yylex_token: end at WS
1758442458.899627 yylex_token: d
1758442458.899632 yylex_token: end at WS
1758442458.899636 yylex_token: swap-pane
1758442458.899640 yylex_token: end at }
1758442458.899644 yylex_token: -D
1758442458.899650 yylex_token: end at WS
1758442458.899655 yylex_token: #{?pane_marked_set,,-}Swap Marked
1758442458.899659 yylex_token: end at WS
1758442458.899663 yylex_token: s
1758442458.899668 yylex_token: end at }
1758442458.899673 yylex_token: swap-pane
1758442458.899677 yylex_token: end at WS
1758442458.899681 yylex_token: 
1758442458.899690 yylex_token: end at WS
1758442458.899694 yylex_token: Kill
1758442458.899699 yylex_token: end at WS
1758442458.899703 yylex_token: X
1758442458.899707 yylex_token: end at }
1758442458.899712 yylex_token: kill-pane
1758442458.899716 yylex_token: end at WS
1758442458.899720 yylex_token: Respawn
1758442458.899725 yylex_token: end at WS
1758442458.899729 yylex_token: R
1758442458.899734 yylex_token: end at WS
1758442458.899738 yylex_token: respawn-pane
1758442458.899743 yylex_token: end at }
1758442458.899746 yylex_token: -k
1758442458.899752 yylex_token: end at WS
1758442458.899757 yylex_token: #{?pane_marked,Unmark,Mark}
1758442458.899761 yylex_token: end at WS
1758442458.899765 yylex_token: m
1758442458.899770 yylex_token: end at WS
1758442458.899774 yylex_token: select-pane
1758442458.899778 yylex_token: end at }
1758442458.899782 yylex_token: -m
1758442458.899790 yylex_token: end at WS
1758442458.899795 yylex_token: #{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}
1758442458.899799 yylex_token: end at WS
1758442458.899803 yylex_token: z
1758442458.899808 yylex_token: end at WS
1758442458.899812 yylex_token: resize-pane
1758442458.899817 yylex_token: end at }
1758442458.899821 yylex_token: -Z
1758442458.899828 cmd_parse_build_commands 0:0: bind
1758442458.899832 cmd_parse_build_commands 0:1: >
1758442458.899837 cmd_parse_build_commands 0:2 0:0: display-menu
1758442458.899842 cmd_parse_build_commands 0:2 0:1: -xP
1758442458.899847 cmd_parse_build_commands 0:2 0:2: -yP
1758442458.899851 cmd_parse_build_commands 0:2 0:3: -T
1758442458.899856 cmd_parse_build_commands 0:2 0:4: #[align=centre]#{pane_index} (#{pane_id})
1758442458.899861 cmd_parse_build_commands 0:2 0:5: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1758442458.899866 cmd_parse_build_commands 0:2 0:6: <
1758442458.899870 cmd_parse_build_commands 0:2 0:7 0:0: send
1758442458.899875 cmd_parse_build_commands 0:2 0:7 0:1: -X
1758442458.899880 cmd_parse_build_commands 0:2 0:7 0:2: history-top
